grupo,short_id,resultado_final,tipo_objecion_principal,concesion_ante_objecion,cierre_operativo,tono_agente,resultado_confianza,resultado_evidencia,objecion_evidencia,concesion_evidencia,cierre_evidencia
humano,audioh1-0445c357-2spk,compromiso_firme,economica,si,si,cordial,alta,acepta 6 cuotas de 133.300 desde 5 agosto,dice que ahorita no tiene dinero,agente ofrece plan de 6 cuotas más bajas,paga con número de convenio y cédula
humano,audioh2-09115a4a-2spk,compromiso_firme,sin_objecion,no_aplica,si,cordial,alta,confirma pago de 10 millones el 31 agosto,solo indica que necesita gestionar el dinero,"no hubo objeción real, no aplica","acuerdo formal enviado por WhatsApp, fecha 31 agosto"
humano,audioh3-0bc9a430-1spk,recontacto,logistica,no,no,cordial,media,"deudor no está, agente pregunta cuándo volver a llamar",él no se encuentra en el momento,"agente solo pregunta hora, no ofrece nada",no se trató ningún tema de pago
humano,audioh5-0d2d37dd-2spk,compromiso_firme,otra,si,si,cordial,media,acuerda pagar 2 cuotas de 350 mil,"no le llegan acuerdos, no puede abrir el link",reenvía por WhatsApp y corre fecha al 18,"cuotas 350 mil, fechas 18 agosto y 15 sept"
humano,audioh7-1e3beb83-1spk,compromiso_firme,economica,si,si,cordial,alta,acepta pagar 60 mil el 30 de agosto,"está desempleado, no consigue el dinero",agente corre la fecha de pago al día 30,"60 mil pesos, acuerdo ya enviado por WhatsApp"
humano,audioh8-1f5cda00-2spk,compromiso_firme,sin_objecion,no_aplica,si,cordial,alta,pago total 672.600 el viernes 21 de agosto,acepta pagar en una cuota sin resistencia,"no hubo objeción, aceptó de inmediato",fecha 21 agosto y monto 672.600 definidos
humano,audioh9-2a92a64c-2spk,compromiso_firme,economica,si,si,cordial,alta,acuerda dos cuotas de 320.000 sobre tarjeta,"es desempleada, no le alcanza para pagar",descuenta 100% intereses y difiere crédito pequeño,"320.000 el 20 agosto y 21 septiembre, por WhatsApp"
humano,audioh10-2b377b6a-1spk,compromiso_firme,otra,no,si,cordial,alta,"acuerda 3 cuotas de 326.000, iniciando el 25",reclama descuento previo que ya no aplica,agente mantiene el valor mínimo sin descuento,"3 cuotas, fechas 25 ago/sep/oct, acuerdo enviado"
humano,audioh11-2d454b7b-2spk,recontacto,economica,si,no,neutro,media,queda pendiente aprobación de excepción por comité,"dice que no le alcanzó, otros compromisos",ofrece diferir a 2 o 3 cuotas de 280.000,"pago depende de respuesta del comité, sin cierre"
humano,audioh12-2e50e9db-2spk,recontacto,logistica,no,no,cordial,alta,"pide que lo llamen en una hora, va en carretera","está de viaje, no puede revisar ahora","agente solo acepta llamar después, sin oferta nueva",no se define fecha ni monto de pago
humano,audioh13-306c762c-2spk,recontacto,desconocimiento_desconfianza,no,no,neutro,media,queda pendiente de enviar soporte de pago previo,dice que ya pagó desde diciembre,"agente repite pedir soporte, ya lo había hecho antes","no se define pago nuevo, solo verificación pendiente"
humano,audioh14-336a8602-2spk,compromiso_firme,economica,si,si,cordial,alta,reprograma pago de 300 mil para el 15 de julio,no pudo pagar por una calamidad,agente corre la fecha al 15 de julio,"300 mil, 15 julio, envía medios de pago"
humano,audioh15-380f5075-2spk,compromiso_firme,otra,no,si,cordial,alta,"18 cuotas de 281.036, fecha límite mañana 15",no le llegó el acuerdo por WhatsApp,"solo reenvía el mismo acuerdo, nada nuevo","monto 281.036, fecha mañana antes de mediodía"
humano,audioh16-38482ca0-2spk,rechazo,otra,si,no,cordial,alta,"prefiere seguir proceso con su abogado, no acepta",ya tiene proceso de insolvencia con abogado,ofrece descuento del 30% y condonar intereses,"no se acuerda pago, solo deja número de contacto"
humano,audioh17-440cb585-1spk,recontacto,economica,no,no,cordial,media,dice que gestionará al salir de la situación,"gastos por salud de su mamá, no le da",agente solo repite beneficios y deja anotación,no se fija fecha ni forma de pago
